state/ut,literacy-group-males,ratio-males,literacy-group-females,ratio-females
00,Graduate and above,0.3161509157307399,Graduate and above,0.3374330698448987
01,Graduate and above,0.6697908437770229,Graduate and above,0.6803136820009109
02,Graduate and above,0.15253778407733593,Graduate and above,0.1524572130266827
03,Graduate and above,0.7675170753144971,Graduate and above,0.7655371053017237
04,Graduate and above,0.6856360025967083,Graduate and above,0.7052115266707542
05,Graduate and above,0.07198458017294578,Graduate and above,0.07300236050424389
06,Graduate and above,0.1692450823306665,Graduate and above,0.19628013783198756
07,Graduate and above,0.23276400871890893,Graduate and above,0.24714945591682272
08,Graduate and above,0.07642623332711802,Graduate and above,0.08632444078257176
09,Graduate and above,0.06493682011897516,Graduate and above,0.06924386594008528
10,Graduate and above,0.08591620623775843,Graduate and above,0.08449069039022056
11,Graduate and above,0.76049766718507,Graduate and above,0.7918379550041109
12,Graduate and above,0.7146856986000549,Graduate and above,0.7169306008383791
13,Graduate and above,0.7078626256530185,Graduate and above,0.6959803787982014
14,Graduate and above,0.6636931641521446,Graduate and above,0.6211866840442687
15,Graduate and above,0.2760862939004978,Graduate and above,0.20961481039116153
16,Graduate and above,0.35156452759503953,Graduate and above,0.31393954178609906
17,Graduate and above,0.5071797197210166,Graduate and above,0.4296733622873688
18,Graduate and above,0.6387935066743216,Graduate and above,0.6003563519876164
19,Graduate and above,0.2446069881790659,Graduate and above,0.2448353902839558
20,Graduate and above,0.19314723220926666,Graduate and above,0.2174433996443312
21,Graduate and above,0.673253084695414,Graduate and above,0.6559965092607933
22,Graduate and above,0.09825499445439938,Graduate and above,0.12911788577210012
23,Graduate and above,0.10859737110378831,Graduate and above,0.11769304627989843
24,Graduate and above,0.7007514012131514,Graduate and above,0.6700027920195036
25,Graduate and above,0.5323442136498516,Graduate and above,0.5793922778158556
26,Graduate and above,0.5026580518524577,Graduate and above,0.5487260688066792
27,Graduate and above,0.6420050734653967,Graduate and above,0.6568947488196439
28,Graduate and above,0.3751353705395166,Graduate and above,0.36251012333109656
29,Graduate and above,0.48148990301738426,Graduate and above,0.5019788502339753
30,Graduate and above,0.8057021747640968,Graduate and above,0.804937389176781
31,Graduate and above,0.7091906721536351,Graduate and above,0.6101895734597157
32,Graduate and above,0.4290953350728696,Graduate and above,0.35301878234409656
33,Graduate and above,0.15328745613658265,Graduate and above,0.1454464591173452
34,Graduate and above,0.21789839208877482,Graduate and above,0.20486993780676932
35,Graduate and above,0.5738511231830862,Graduate and above,0.523678466356648
